year,live_births_total
2000,3849
2001,3241
2002,3162
2003,3212
2004,3308
2005,3671
2006,4058
2007,4537
2008,4717
2009,4764
2010,5114
2011,5852
2012,7315
2013,6571
2014,7360
2015,7055
2016,7146
2017,6529
2018,5925
2019,5979
2020,5545
2021,5026
2022,4344
2023,3712
2024,3607
2025,2870
